dataset,metric,spearman_with_ari,n_algorithms
graves/ring,Generalised Dunn Index,0.9904407859798195,28
graves/ring,Negated Ball Hall Index,-0.9893786510886884,28
graves/ring,Negated DB Index,-0.9840679766330324,28
graves/ring,Negated WCSS Index,-0.9638874137015401,28
graves/ring,Silhouette,-0.9638874137015401,28
graves/ring,Silhouette W,-0.9893786510886884,28
graves/ring,WCNN Index,0.9960132890365452,27
graves/ring_noisy,CH Index,-0.548095276523674,12
graves/ring_noisy,Dunnowa Index,0.8,9
graves/ring_noisy,Generalised Dunn Index,-0.22141597263539145,12
graves/ring_noisy,Negated Ball Hall Index,-0.9255913610168004,12
graves/ring_noisy,Negated DB Index,-0.8709677419354839,10
graves/ring_noisy,Negated WCSS Index,-0.548095276523674,12
graves/ring_noisy,Silhouette,-0.8892936605847689,12
graves/ring_noisy,Silhouette W,-0.9038127407575816,12
graves/ring_noisy,WCNN Index,0.8,9
graves/ring_outliers,CH Index,-0.7628436545404053,29
graves/ring_outliers,Dunnowa Index,0.5714285714285715,8
graves/ring_outliers,Generalised Dunn Index,0.7407304612460036,29
graves/ring_outliers,Negated Ball Hall Index,-0.17689530685920576,29
graves/ring_outliers,Negated DB Index,-0.9711191335740071,29
graves/ring_outliers,Negated WCSS Index,-0.7617328519855594,29
graves/ring_outliers,Silhouette,-0.9422382671480143,29
graves/ring_outliers,Silhouette W,0.9277978339350179,29
graves/ring_outliers,WCNN Index,0.7619047619047621,8
graves/zigzag,CH Index,-0.9885714285714287,20
graves/zigzag,Generalised Dunn Index,0.9291428571428574,20
graves/zigzag,Negated Ball Hall Index,-1.0,20
graves/zigzag,Negated DB Index,-1.0,20
graves/zigzag,Negated WCSS Index,-0.9885714285714287,20
graves/zigzag,Silhouette,-0.9954285714285716,20
graves/zigzag,Silhouette W,-0.18400000000000002,20
graves/zigzag,WCNN Index,0.9883268482490274,18
graves/zigzag_noisy,CH Index,-0.08896797153024912,12
graves/zigzag_noisy,Dunnowa Index,0.7267080745341615,10
graves/zigzag_noisy,Generalised Dunn Index,0.03914590747330961,12
graves/zigzag_noisy,Negated Ball Hall Index,-0.5658362989323843,12
graves/zigzag_noisy,Negated DB Index,-0.8790035587188614,12
graves/zigzag_noisy,Negated WCSS Index,-0.08896797153024912,12
graves/zigzag_noisy,Silhouette,-0.10320284697508897,12
graves/zigzag_noisy,Silhouette W,-0.5231316725978647,12
graves/zigzag_noisy,WCNN Index,0.9503105590062113,10
graves/zigzag_outliers,CH Index,-0.7004175365344468,23
graves/zigzag_outliers,Generalised Dunn Index,0.18019777701120918,23
graves/zigzag_outliers,Negated Ball Hall Index,-0.7296450939457202,23
graves/zigzag_outliers,Negated DB Index,-0.6649269311064717,23
graves/zigzag_outliers,Negated WCSS Index,-0.17849686847599164,23
graves/zigzag_outliers,Silhouette,-0.7004175365344468,23
graves/zigzag_outliers,Silhouette W,0.13883089770354906,23
graves/zigzag_outliers,WCNN Index,1.0,6
sipu/a1,CH Index,0.9929824561403509,12
sipu/a1,Dunnowa Index,0.4285714285714286,8
sipu/a1,Generalised Dunn Index,-0.031578947368421054,12
sipu/a1,Negated Ball Hall Index,0.9929824561403509,12
sipu/a1,Negated DB Index,0.9515151515151514,10
sipu/a1,Negated WCSS Index,0.9929824561403509,12
sipu/a1,Silhouette,0.9929824561403509,12
sipu/a1,Silhouette W,0.9789473684210527,12
sipu/a1,WCNN Index,0.7142857142857144,8
sipu/a2,CH Index,0.9352028352316922,12
sipu/a2,Dunnowa Index,0.261904761904762,8
sipu/a2,Generalised Dunn Index,-0.01754385964912281,12
sipu/a2,Negated Ball Hall Index,0.9789473684210527,12
sipu/a2,Negated DB Index,0.7818181818181817,10
sipu/a2,Negated WCSS Index,0.9368421052631579,12
sipu/a2,Silhouette,0.9578947368421055,12
sipu/a2,Silhouette W,0.9508771929824562,12
sipu/a2,WCNN Index,0.8333333333333335,8
sipu/a3,CH Index,0.99124495269876,12
sipu/a3,Dunnowa Index,0.6666666666666669,8
sipu/a3,Generalised Dunn Index,0.21403508771929827,12
sipu/a3,Negated Ball Hall Index,0.9649122807017544,12
sipu/a3,Negated DB Index,0.9878787878787878,10
sipu/a3,Negated WCSS Index,0.9929824561403509,12
sipu/a3,Silhouette,0.9929824561403509,12
sipu/a3,Silhouette W,0.9859649122807018,12
sipu/a3,WCNN Index,0.6428571428571429,8
sipu/aggregation,CH Index,0.19494143129549468,17
sipu/aggregation,Dunnowa Index,-0.05333333333333332,14
sipu/aggregation,Generalised Dunn Index,-0.01728395061728395,17
sipu/aggregation,Negated Ball Hall Index,0.8469135802469134,17
sipu/aggregation,Negated DB Index,0.7549549549549549,15
sipu/aggregation,Negated WCSS Index,0.2839506172839506,17
sipu/aggregation,Silhouette,0.4296296296296296,17
sipu/aggregation,Silhouette W,0.7530864197530864,17
sipu/aggregation,WCNN Index,0.2888888888888888,14
sipu/compound,CH Index,-0.6948148148148148,16
sipu/compound,Dunnowa Index,-0.5750000000000001,8
sipu/compound,Generalised Dunn Index,-0.057777777777777775,16
sipu/compound,Negated Ball Hall Index,-0.22370370370370368,16
sipu/compound,Negated DB Index,-0.20177383592017742,14
sipu/compound,Negated WCSS Index,0.1911111111111111,16
sipu/compound,Silhouette,-0.35703703703703704,16
sipu/compound,Silhouette W,-0.2711111111111111,16
sipu/compound,WCNN Index,-0.725,8
sipu/d31,CH Index,0.935251798561151,15
sipu/d31,Dunnowa Index,0.5428571428571429,6
sipu/d31,Generalised Dunn Index,-0.14028776978417265,15
sipu/d31,Negated Ball Hall Index,0.9388489208633095,15
sipu/d31,Negated DB Index,0.7555555555555554,13
sipu/d31,Negated WCSS Index,0.9892086330935252,15
sipu/d31,Silhouette,0.8920863309352517,15
sipu/d31,Silhouette W,0.2805755395683453,15
sipu/d31,WCNN Index,-0.41379310344827586,9
sipu/flame,CH Index,0.2727272727272727,12
sipu/flame,Dunnowa Index,0.767741935483871,10
sipu/flame,Generalised Dunn Index,0.2218181818181818,12
sipu/flame,Negated Ball Hall Index,-0.22909090909090907,12
sipu/flame,Negated DB Index,-0.650909090909091,12
sipu/flame,Negated WCSS Index,0.2727272727272727,12
sipu/flame,Silhouette,0.31636363636363635,12
sipu/flame,Silhouette W,-0.6218181818181819,12
sipu/flame,WCNN Index,0.6387096774193549,10
sipu/jain,CH Index,-0.09025270758122744,12
sipu/jain,Dunnowa Index,0.21299638989169675,12
sipu/jain,Generalised Dunn Index,0.631768953068592,12
sipu/jain,Negated Ball Hall Index,-0.8483754512635379,12
sipu/jain,Negated DB Index,-0.8339350180505416,12
sipu/jain,Negated WCSS Index,-0.09025270758122744,12
sipu/jain,Silhouette,-0.09025270758122744,12
sipu/jain,Silhouette W,-0.8916967509025271,12
sipu/jain,WCNN Index,0.4368231046931408,12
sipu/pathbased,CH Index,0.007246376811594203,12
sipu/pathbased,Dunnowa Index,0.8727272727272727,9
sipu/pathbased,Generalised Dunn Index,0.028985507246376812,12
sipu/pathbased,Negated Ball Hall Index,-0.8188405797101449,12
sipu/pathbased,Negated DB Index,-0.9612903225806451,10
sipu/pathbased,Negated WCSS Index,0.007246376811594203,12
sipu/pathbased,Silhouette,0.007246376811594203,12
sipu/pathbased,Silhouette W,-0.10144927536231885,12
sipu/pathbased,WCNN Index,-0.8,9
sipu/r15,CH Index,0.7036727370500194,27
sipu/r15,Dunnowa Index,0.0,7
sipu/r15,Generalised Dunn Index,-0.6382408061332789,27
sipu/r15,Negated Ball Hall Index,0.7040268456375838,27
