algorithm_family,count,mean,q1,median,q3
genie,215,0.6656862356864185,0.4009952070082203,0.7545843482047735,1.0
gaussian_mixture,43,0.6523691113705014,0.42313793667165367,0.7057376866919584,0.9413476015756508
spectral,43,0.7063630227473854,0.513736670246325,0.6892637859164407,0.9651537297301754
kmeans,43,0.592203310275994,0.31960869965899663,0.6133891832174297,0.8661098095455098
agglomerative,172,0.5145980447146669,0.18997458149165491,0.5148416842293553,0.9338414437310039
dbscan,903,0.27158595798047364,0.0,0.01140499077979532,0.5118600069030191
