metric,spearman_with_ari,winner_agreement,n_pairs
WCNN Index,0.45576486306003217,0.4146341463414634,484
Generalised Dunn Index,0.32656398026459665,0.2558139534883721,668
Negated WCSS Index,0.150789541404962,0.2558139534883721,668
Dunnowa Index,0.04084238077893348,0.1,338
Silhouette,0.033933820292630874,0.2558139534883721,668
Silhouette W,0.028772911787551977,0.20930232558139536,668
Negated Ball Hall Index,-0.009328635098893394,0.2558139534883721,668
CH Index,-0.021800194092932476,0.20930232558139536,668
Negated DB Index,-0.23933974724772752,0.20930232558139536,618
